,PMID,Event,ref,HR,HR.l95,HR.u95,LOG.HR,LOG.HR.SE,included in T1
128,26305651,EFS,N,3.3,1.61,6.89,1.193922468,0.370876762,no
129,26305651,OS,N,2.86,1.39,5.88,1.050821625,0.367921687,no
130,26373238,Response duration,N,4.34,1.75,10.79,1.467874348,0.46403163,no
131,26373238,Response duration,N,3.18,1.17,8.65,1.156881197,0.510345809,no
132,26373238,Response duration,N,2.71,1.12,6.57,0.996948635,0.451322742,no
133,26373238,Response duration,N,1.62,0.62,4.24,0.482426149,0.490458946,no
134,26373238,OS,N,2.41,1.04,5.6,0.879626748,0.429475991,no
135,26373238,OS,N,1.5,0.54,4.14,0.405465108,0.519612737,no
136,26373238,OS,N,2.18,0.98,4.84,0.779324877,0.407427915,no
137,26373238,OS,N,1.21,0.47,3.1,0.19062036,0.48123079,no
138,26598032,RFS,N,1.8,1.3,2.5,0.587786665,0.166817976,no
139,26635039,OS,N,0.95,NA,NA,-0.051293294,0.681458594,yes
140,26635039,OS,N,6.8,NA,NA,1.916922612,0.682899733,yes
141,26715369,RFS,N,7.8,3.7,16.5,2.054123734,0.381384582,no
142,26715369,RFS,N,5.2,2.4,11.4,1.648658626,0.397485872,no
143,26715369,RFS,N,7.9,3.6,17.4,2.066862759,0.401922541,no
144,26715369,RFS,N,3.3,1.6,7.1,1.193922468,0.380125295,no
145,26715369,RFS,N,7.8,3.1,19.4,2.054123734,0.467824223,no
146,26715369,RFS,N,12.2,4.4,33.2,2.501435952,0.515547279,no
147,26715369,RFS,N,4.6,1.9,10.8,1.526056303,0.443288839,no
148,26715369,RFS,N,4.1,1.3,13.1,1.410986974,0.589348971,no
149,26715369,RFS,N,3.3,1.5,7,1.193922468,0.392970674,no
150,26715369,RFS,N,10.2,3.2,32.1,2.32238772,0.588190107,no
151,26789727,Relapse,N,4.8,2.95,7.8,1.568615918,0.24804045,no
